FE00,FE20,FE30,TOTAL_TH
101354744.0,266496192.0,95957000.0,463807936.0
0.0,240.0,240.0,480.0
360.0,360.0,360.0,1080.0
240.0,560.0,0.0,800.0
44088.0,69776.0,114312.0,228176.0
158016.0,130816.0,124176.0,413008.0
74880.0,92664.0,114216.0,281760.0
114672.0,159260.0,119052.0,392984.0
138468.0,117144.0,104784.0,360396.0
116016.0,91752.0,188808.0,396576.0
125160.0,108624.0,4344.0,238128.0
672.0,0.0,0.0,672.0
0.0,0.0,0.0,0.0
0.0,520.0,240.0,760.0
360.0,1228.0,668.0,2256.0
548.0,280.0,0.0,828.0
0.0,280.0,0.0,280.0
0.0,480.0,240.0,720.0
360.0,640.0,360.0,1360.0
240.0,560.0,0.0,800.0
0.0,280.0,0.0,280.0
0.0,520.0,240.0,760.0
360.0,360.0,360.0,1080.0
240.0,0.0,0.0,240.0
0.0,0.0,0.0,0.0
1356.0,1956.0,1956.0,5268.0
600.0,0.0,0.0,600.0
0.0,0.0,0.0,0.0
