FE00,FE20,FE30,TOTAL_TH
76297816.0,240613992.0,70906552.0,387818360.0
0.0,240.0,0.0,240.0
0.0,1080.0,240.0,1320.0
0.0,280.0,0.0,280.0
17216.0,27576.0,36160.0,80952.0
40896.0,36960.0,35152.0,113008.0
58616.0,89512.0,107448.0,255576.0
213952.0,134680.0,148360.0,496992.0
136456.0,141488.0,155400.0,433344.0
179904.0,178072.0,189320.0,547296.0
177248.0,172568.0,158360.0,508176.0
148104.0,192800.0,146624.0,487528.0
1356.0,1596.0,1836.0,4788.0
600.0,360.0,360.0,1320.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,240.0,240.0,480.0
600.0,1200.0,360.0,2160.0
0.0,280.0,0.0,280.0
0.0,480.0,240.0,720.0
0.0,280.0,0.0,280.0
