Starting Nmap 7.94SVN ( https://nmap.org ) at 2025-03-18 17:15 EDT 0.06s
Stats: 0:00:00 elapsed; 0 hosts completed (0 up), 4096 undergoing Ping Scan 0.12s
Ping Scan Timing: About 0.17% done 0.12s
Stats: 0:00:09 elapsed; 0 hosts completed (0 up), 4096 undergoing Ping Scan 9.11s
Ping Scan Timing: About 84.39% done; ETC: 17:15 (0:00:02 remaining) 9.11s
Stats: 0:00:10 elapsed; 0 hosts completed (0 up), 4096 undergoing Ping Scan 10.55s
Ping Scan Timing: About 85.50% done; ETC: 17:15 (0:00:02 remaining) 10.55s
Stats: 0:00:10 elapsed; 0 hosts completed (0 up), 4096 undergoing Ping Scan 10.60s
Ping Scan Timing: About 85.52% done; ETC: 17:15 (0:00:02 remaining) 10.60s
Stats: 0:00:11 elapsed; 0 hosts completed (0 up), 4096 undergoing Ping Scan 11.18s
Ping Scan Timing: About 85.94% done; ETC: 17:15 (0:00:02 remaining) 11.18s
Stats: 0:00:11 elapsed; 0 hosts completed (0 up), 4096 undergoing Ping Scan 11.79s
Ping Scan Timing: About 86.30% done; ETC: 17:15 (0:00:02 remaining) 11.79s
Stats: 0:00:12 elapsed; 0 hosts completed (0 up), 4096 undergoing Ping Scan 12.58s
Ping Scan Timing: About 86.81% done; ETC: 17:15 (0:00:02 remaining) 12.58s
Stats: 0:00:13 elapsed; 0 hosts completed (0 up), 4096 undergoing Ping Scan 13.15s
Ping Scan Timing: About 87.20% done; ETC: 17:15 (0:00:02 remaining) 13.15s
Stats: 0:00:14 elapsed; 0 hosts completed (0 up), 4096 undergoing Ping Scan 14.22s
Ping Scan Timing: About 87.77% done; ETC: 17:15 (0:00:02 remaining) 14.24s
Stats: 0:00:14 elapsed; 0 hosts completed (0 up), 4096 undergoing Ping Scan 14.94s
Ping Scan Timing: About 88.04% done; ETC: 17:15 (0:00:02 remaining) 14.94s
Stats: 0:00:15 elapsed; 0 hosts completed (0 up), 4096 undergoing Ping Scan 15.52s
Ping Scan Timing: About 88.29% done; ETC: 17:15 (0:00:02 remaining) 15.52s
Stats: 0:00:15 elapsed; 0 hosts completed (0 up), 4096 undergoing Ping Scan 16.01s
Ping Scan Timing: About 88.54% done; ETC: 17:15 (0:00:02 remaining) 16.01s
Stats: 0:00:16 elapsed; 0 hosts completed (0 up), 4096 undergoing Ping Scan 16.41s
Ping Scan Timing: About 88.75% done; ETC: 17:15 (0:00:02 remaining) 16.41s
Stats: 0:00:16 elapsed; 0 hosts completed (0 up), 4096 undergoing Ping Scan 16.74s
Ping Scan Timing: About 88.92% done; ETC: 17:15 (0:00:02 remaining) 16.74s
Stats: 0:00:17 elapsed; 0 hosts completed (0 up), 4096 undergoing Ping Scan 17.09s
Ping Scan Timing: About 89.11% done; ETC: 17:15 (0:00:02 remaining) 17.09s
Stats: 0:00:17 elapsed; 0 hosts completed (0 up), 4096 undergoing Ping Scan 17.57s
Ping Scan Timing: About 89.35% done; ETC: 17:15 (0:00:02 remaining) 17.57s
Stats: 0:00:17 elapsed; 0 hosts completed (0 up), 4096 undergoing Ping Scan 17.95s
Ping Scan Timing: About 89.54% done; ETC: 17:15 (0:00:02 remaining) 17.95s
Stats: 0:00:18 elapsed; 0 hosts completed (0 up), 4096 undergoing Ping Scan 18.38s
Ping Scan Timing: About 89.74% done; ETC: 17:15 (0:00:02 remaining) 18.38s
Stats: 0:00:18 elapsed; 0 hosts completed (0 up), 4096 undergoing Ping Scan 18.78s
Ping Scan Timing: About 89.95% done; ETC: 17:15 (0:00:02 remaining) 18.78s
Stats: 0:00:19 elapsed; 0 hosts completed (0 up), 4096 undergoing Ping Scan 19.12s
Ping Scan Timing: About 90.14% done; ETC: 17:15 (0:00:02 remaining) 19.12s
Stats: 0:00:19 elapsed; 0 hosts completed (0 up), 4096 undergoing Ping Scan 19.45s
Ping Scan Timing: About 90.33% done; ETC: 17:15 (0:00:02 remaining) 19.45s
Stats: 0:00:20 elapsed; 0 hosts completed (0 up), 4096 undergoing Ping Scan 20.69s
Ping Scan Timing: About 91.03% done; ETC: 17:15 (0:00:02 remaining) 20.69s
Stats: 0:00:24 elapsed; 0 hosts completed (0 up), 4096 undergoing Ping Scan 24.97s
Ping Scan Timing: About 93.22% done; ETC: 17:15 (0:00:02 remaining) 24.97s
Stats: 0:00:25 elapsed; 0 hosts completed (0 up), 4096 undergoing Ping Scan 25.40s
Ping Scan Timing: About 93.45% done; ETC: 17:15 (0:00:02 remaining) 25.40s
Stats: 0:00:25 elapsed; 0 hosts completed (0 up), 4096 undergoing Ping Scan 25.84s
Ping Scan Timing: About 93.70% done; ETC: 17:15 (0:00:02 remaining) 25.84s
