FE00,FE20,FE30,TOTAL_TH
308414044.0,347991580.0,172947244.0,829352868.0
0.0,280.0,0.0,280.0
0.0,840.0,0.0,840.0
0.0,560.0,0.0,560.0
11456.0,18400.0,22288.0,52144.0
44256.0,38000.0,45232.0,127488.0
51232.0,54096.0,53376.0,158704.0
47088.0,49416.0,47976.0,144480.0
48040.0,38992.0,43848.0,130880.0
50596.0,50540.0,43172.0,144308.0
46664.0,50872.0,59624.0,157160.0
44496.0,39824.0,33336.0,117656.0
41264.0,45384.0,44192.0,130840.0
40960.0,33408.0,30896.0,105264.0
41984.0,50752.0,53152.0,145888.0
39976.0,34800.0,35720.0,110496.0
96008.0,129912.0,114336.0,340256.0
78952.0,42920.0,46704.0,168576.0
240.0,760.0,480.0,1480.0
0.0,0.0,0.0,0.0
600.0,600.0,600.0,1800.0
0.0,840.0,0.0,840.0
0.0,280.0,0.0,280.0
0.0,0.0,0.0,0.0
