FE00,FE20,FE30,TOTAL_TH
89481112.0,253868912.0,84094512.0,427444536.0
0.0,280.0,0.0,280.0
0.0,240.0,240.0,480.0
0.0,0.0,0.0,0.0
34976.0,41272.0,42744.0,118992.0
35024.0,39152.0,49464.0,123640.0
52528.0,53184.0,48952.0,154664.0
42104.0,44072.0,52192.0,138368.0
47264.0,51472.0,53136.0,151872.0
61968.0,65032.0,54584.0,181584.0
51984.0,42944.0,46184.0,141112.0
52280.0,55056.0,52168.0,159504.0
40160.0,40320.0,33888.0,114368.0
37408.0,36760.0,31928.0,106096.0
135376.0,154128.0,176800.0,466304.0
219624.0,227032.0,246024.0,692680.0
224472.0,217888.0,175632.0,617992.0
193268.0,207404.0,220916.0,621588.0
193632.0,196616.0,179184.0,569432.0
228552.0,255344.0,269704.0,753600.0
238392.0,201960.0,219736.0,660088.0
76776.0,48776.0,19240.0,144792.0
0.0,0.0,240.0,240.0
0.0,240.0,0.0,240.0
600.0,360.0,360.0,1320.0
0.0,0.0,0.0,0.0
0.0,240.0,240.0,480.0
0.0,0.0,0.0,0.0
600.0,360.0,360.0,1320.0
0.0,0.0,0.0,0.0
0.0,240.0,240.0,480.0
600.0,360.0,360.0,1320.0
