FE00,FE20,FE30,TOTAL_TH
324549148.0,363848420.0,188934300.0,877331868.0
600.0,880.0,600.0,2080.0
0.0,240.0,0.0,240.0
0.0,280.0,0.0,280.0
28488.0,81304.0,40176.0,149968.0
42528.0,55296.0,36648.0,134472.0
64864.0,155160.0,95280.0,315304.0
96304.0,185968.0,83328.0,365600.0
158736.0,160788.0,114212.0,433736.0
76228.0,233880.0,208552.0,518660.0
93320.0,145416.0,110520.0,349256.0
146024.0,118664.0,130768.0,395456.0
82808.0,138368.0,171536.0,392712.0
104752.0,180016.0,132560.0,417328.0
161320.0,160224.0,234600.0,556144.0
271600.0,75056.0,248576.0,595232.0
263016.0,600.0,57672.0,321288.0
92360.0,240.0,0.0,92600.0
0.0,0.0,0.0,0.0
0.0,280.0,0.0,280.0
