FE00,FE20,FE30,TOTAL_TH
290785604.0,330205948.0,155567908.0,776559460.0
360.0,360.0,360.0,1080.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
16080.0,23376.0,30504.0,69960.0
37968.0,97592.0,50760.0,186320.0
84928.0,145720.0,99512.0,330160.0
57488.0,93272.0,94712.0,245472.0
49976.0,47808.0,156560.0,254344.0
58576.0,36904.0,103208.0,198688.0
168496.0,64640.0,48840.0,281976.0
75440.0,95216.0,40512.0,211168.0
44484.0,47900.0,39060.0,131444.0
35568.0,37024.0,42312.0,114904.0
46864.0,40792.0,39072.0,126728.0
112872.0,45240.0,34824.0,192936.0
36024.0,37728.0,39744.0,113496.0
4800.0,0.0,0.0,4800.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
600.0,600.0,600.0,1800.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
240.0,240.0,240.0,720.0
