FE00,FE20,FE30,TOTAL_TH
131220264.0,295056216.0,126098104.0,552374584.0
240.0,520.0,0.0,760.0
0.0,560.0,0.0,560.0
0.0,800.0,240.0,1040.0
82776.0,12304.0,118520.0,213600.0
107824.0,153560.0,225240.0,486624.0
52576.0,33272.0,536.0,86384.0
360.0,360.0,624.0,1344.0
240.0,0.0,0.0,240.0
0.0,0.0,0.0,0.0
0.0,240.0,240.0,480.0
1184.0,360.0,1216.0,2760.0
240.0,560.0,0.0,800.0
0.0,280.0,0.0,280.0
0.0,520.0,240.0,760.0
360.0,920.0,360.0,1640.0
832.0,560.0,2472.0,3864.0
0.0,280.0,0.0,280.0
1596.0,2116.0,1956.0,5668.0
600.0,360.0,264.0,1224.0
0.0,0.0,0.0,0.0
3064.0,0.0,240.0,3304.0
1544.0,600.0,952.0,3096.0
240.0,1120.0,1184.0,2544.0
0.0,0.0,0.0,0.0
0.0,840.0,600.0,1440.0
600.0,0.0,0.0,600.0
0.0,1864.0,592.0,2456.0
0.0,1040.0,600.0,1640.0
600.0,920.0,240.0,1760.0
0.0,0.0,0.0,0.0
0.0,520.0,240.0,760.0
360.0,1792.0,1448.0,3600.0
240.0,1704.0,0.0,1944.0
0.0,280.0,0.0,280.0
360.0,600.0,600.0,1560.0
240.0,0.0,0.0,240.0
0.0,2472.0,0.0,2472.0
1356.0,1956.0,1956.0,5268.0
600.0,0.0,0.0,600.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
360.0,600.0,600.0,1560.0
240.0,0.0,0.0,240.0
0.0,0.0,0.0,0.0
0.0,240.0,240.0,480.0
360.0,920.0,360.0,1640.0
240.0,800.0,0.0,1040.0
0.0,0.0,0.0,0.0
360.0,880.0,600.0,1840.0
