FE00,FE20,FE30,TOTAL_TH
121874776.0,287456464.0,116620816.0,525952056.0
360.0,880.0,360.0,1600.0
240.0,240.0,0.0,480.0
0.0,280.0,0.0,280.0
38952.0,52704.0,76584.0,168240.0
130368.0,145800.0,217716.0,493884.0
233316.0,265468.0,174312.0,673096.0
116784.0,156928.0,168984.0,442696.0
181920.0,98064.0,85416.0,365400.0
73416.0,56504.0,36552.0,166472.0
240.0,560.0,0.0,800.0
0.0,240.0,240.0,480.0
360.0,880.0,360.0,1600.0
240.0,0.0,0.0,240.0
0.0,240.0,0.0,240.0
0.0,240.0,240.0,480.0
360.0,360.0,360.0,1080.0
240.0,0.0,0.0,240.0
0.0,0.0,0.0,0.0
1356.0,1596.0,1956.0,4908.0
600.0,920.0,0.0,1520.0
0.0,560.0,0.0,560.0
0.0,0.0,0.0,0.0
360.0,880.0,600.0,1840.0
240.0,0.0,0.0,240.0
0.0,0.0,0.0,0.0
