192.168.7.210,445 2.15s
192.168.7.249,22 3.85s
192.168.5.5,139 4.71s
192.168.3.213,49153 5.36s
192.168.5.5,49152 9.70s
192.168.5.5,49153 10.68s
192.168.5.5,49154 11.01s
192.168.3.213,49156 11.11s
192.168.3.200,23 11.45s
192.168.7.121,49153 13.92s
192.168.7.121,49155 15.19s
192.168.5.5,49155 15.41s
192.168.7.121,135 16.79s
192.168.3.36,445 18.36s
192.168.3.213,135 18.93s
192.168.5.5,135 22.63s
192.168.7.121,49157 22.63s
192.168.7.121,49154 22.94s
192.168.3.213,139 23.17s
192.168.5.3,445 23.48s
192.168.7.249,80 25.25s
192.168.3.213,49152 29.51s
192.168.3.213,49154 30.11s
192.168.3.213,445 30.77s
192.168.7.121,445 33.28s
192.168.3.213,49157 33.59s
192.168.7.121,49156 34.86s
192.168.5.5,445 35.38s
192.168.5.5,49157 40.70s
192.168.3.213,49155 41.29s
